编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例55,"De: 'Ref:AMZ6T' <amazon.vente@mail.zz>
Objet: Commande validée
Date: 17 novembre 2025 à 17:49:05
Voici le récapitulatif de votre paiement de 1650.00€ effectué sur AMAZON.
Montant: 1650.00€
Marchand: Amazon
Réf: AMZ6T_08J - 17/11/2025
Contacter le service SAV au (+33 6 39 98 41 15)",邮件,电商 Amazon,假称亚马逊扣款 1650 欧，给'客服'电话诱导回拨（实为诈骗号码）,发件域名 mail.zz 为伪造；真实亚马逊不会邮件通知扣款并留手机号,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例56,"De: Alertes de Transaction <adm.fiscal@drastosa.com.br>
Objet: Paiement réussi

Le paiement a été validé avec succès.
Bonjour, @mail.fr
Nous vous confirmons que le règlement a été dûment enregistré et validé.
⚠️Important: Le premier prélèvement associé à cette opération interviendra dans un délai de 24h à compter de la réception de ce courriel.
Détails de l'alerte: Référence du dossier: KAC-130996
✅ Que devez-vous faire ?
Si ce paiement ne venait pas de vous, Veuillez nous appeler sans délai au +33 1 89 62 □.
Cordialement,
Service Sécurité Clientèle
Banque de France",邮件,央行 Banque de France,假称一笔扣款将在 24 小时内发生，诱导回拨'安全部门'电话,发件域名 drastosa.com.br 为外国仿冒；法国央行不会用邮件预警扣款,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例57,"Merci pour votre commande n°8945623
- 589,99 € seront débités.
Un problème ? Appelez immédiatement le 09 99 00 67 89",短信,银行止付诈骗（SOS carte）,"假称订单 589,99 欧将扣款，诱导立即回拨'止付'电话",真实扣款不会先短信预告；09 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例58,"Bonjour
Votre achat de 594,98 EUR chez Darty a bien été enregistré.
Si vous n'avez pas initié ce paiement, contacter vite le service opposition au 07 XX XX XX XX (non surtaxé).
Cordialement,
Service Opposition",短信,银行止付诈骗,"假称 Darty 购物 594,98 欧已记账，诱导回拨'止付服务'",官方不会用短信通知并要求回拨；07 手机号为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例59,"Crédit Agricole: Un paiement de 657,99 € est en cours de validation. Si vous n'en êtes pas l'auteur, veuillez contacter le service de sécurité au 09 XX XX XX XX.",短信,银行 Crédit Agricole,"假称一笔 657,99 欧付款验证中，诱导回拨'安全部门'",银行官方短信号码固定且不会如此措辞；09 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例60,Votre virement de 2132.27 eur à bien été pris en compte. Si vous n'avez effectué aucune opération veuillez contacter le 01 XX XX XX XX.,短信,银行止付诈骗,"假称 2132,27 欧转账已受理，诱导回拨电话",语法错误（à bien été）；官方不会这样通知,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例61,"Info Bred: Opération de 935 € initiée chez Bureau Vallée sur votre carte. Si non autorisée, appelez au 09 XX XX XX XX",短信,银行 BRED,假称 BRED 卡在 Bureau Vallée 有 935 欧操作，诱导回拨,官方短信号码固定；09 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例62,"Rapport-20255 Paiement autorisé avec succès Ref : QHM-VAZ-3342 Votre espace personnel a détecté la connexion d'un Xiaomi 14t Pro récent. Lieux : Marseille Adresse IP : 16.**.012.*** Une opération financière de 2 075 € destinée à M*** D*** a été détectée. Carte XXXX : opération de 1 142,50 €. N'hésitez pas à nous joindre tout de suite. Si vous n'êtes pas à l'origine : 07 XX XX XX XX (24h/24 – appel non surtaxé). Merci de votre confiance et de votre vigilance.",短信,银行止付诈骗（伪造细节）,假称检测到新设备登录+多笔操作，用大量伪造细节（地点/IP/金额）诱导回拨,官方不会在短信暴露此类'内部检测'细节；07 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例63,"Réf. 1075PTA40M Un nouvel appareil a été détecté sur votre espace personnel. Une transaction est en cours : 3 300 € à destination de C*** C***. Une opération par carte terminant par XXXX a également été signalée. Montant : 1 912,99 € 📞 Si vous n'êtes pas à l'origine de ces opérations, veuillez nous contacter immédiatement : 09 XX XX XX XX (appel 24h/24) Merci de votre vigilance. ❗ Ne répondez pas à ce message si vous êtes à l'origine de ces opérations.",短信,银行止付诈骗（伪造细节）,同款变体：新设备+多笔大额交易细节，诱导立即回拨,官方不会用短信通知并要求回拨；09 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例64,"Chèr(e) client(e),
Votre réabonnement de 5 ans de protection de l'antivirus AVAST pour vos appareils à été activé avec succès !
Prélèvement en cours
Montant : 449.89 €
Si vous n'êtes pas à l'origine de ce paiement contacter le service client dans un délai de 24h à 48h au O9X XXX XXX ou (+33 9XX XXX XXX).
Notre équipe d'assistance se fera le plaisir de répondre à toutes vos questions et demandes.",邮件,杀毒 Avast,"假称 Avast 续费 5 年扣 449,89 欧，48 小时内不回拨就扣款（实为骗回拨）",官方杀毒软件不会邮件通知续费扣款；电话为诈骗号码,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例65,"Bonjour,
Nous vous informons que votre paiement de Transcash au bureau de tabac a été accepté et traité avec succès.
Voici les détails :
Commande : 8 coupons
Montant: 2170,00 €
Date :28/06/2025
Heure :01h03
Réf. :MN242005
Si vous pensez qu'il s'agit d'une erreur, vous êtes prié d'appeler sans délai le service banque à distance au 07 XX XX XX XX pour contester.",邮件,支付 Transcash,假称 8 张充值券 2170 欧已购买，诱导回拨'银行远程服务',官方不会邮件通知此类交易；07 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例66,"Bonjour, Vous avez initié une demande de virement de 954 € au profil de F*** U*** Le 16/10/2025 à 23:06:50 A été crédité sur le compte du destinataire : FR7616899XXXXXXXXXXXXXX5989 Bénéficiaire : F*** U*** Emetteur: C*** K*** Montant : 954 € Type de virement : unique Référence : 258019FR Motif : assistance medicale Si vous n'êtes pas a l'origine de cette operation Merci de prendre contact rapidement avec le service répression des fraudes 01 XX XX XX XX",邮件,银行止付诈骗（伪造转账细节）,假称 954 欧转账已完成并给出伪 IBAN，诱导回拨'反欺诈部门',官方不会邮件展示此类细节并要求回拨；01 号码为诈骗电话,是,lhameconnage-au-faux-numero-dopposition-bancaire,官方示例（已标注）
示例67,"L'objet de l'email frauduleux est souvent alarmiste. Exemples de sujets publiés par BNP Paribas :
- 'Rappel : Votre compte sera limité'
- 'Service Bancaire : nous avons restreint l'accès à votre Carte Bancaire'
- 'Nouvelle sûreté contre l'escroquerie'
- 'Nous avons détecté des transactions inhabituelles sur vos comptes'
- 'Nous avons détecté différents ordinateurs connectés à votre compte'",邮件,银行 BNP Paribas（主题行示例集）,BNP 官方公布的钓鱼邮件主题行合集：均为'账户受限/检测异常'类制造恐慌的标题,来源为 BNP Paribas 官方安全页公布；主题行特征=警报+限时,是,mabanque.bnpparibas identifier-attaques-bancaires,官方示例（已标注）
示例68,"« Votre location est annulée, merci de payer à nouveau »",短信,租赁平台（假预订）,假称预订被取消需重新付款（夏季高频话术，BNP 官方公布）,来源 BNP 官方安全警报页；'紧急+重复付款'话术特征,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例69,« Votre carte bancaire nécessite une validation immédiatement. »,短信,银行（境外支付）,假称银行卡需立即验证（境外消费场景话术，BNP 官方公布）,来源 BNP 官方安全警报页；'立即+验证'紧急话术,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例70,« Nous avons détecté une fraude sur votre compte »,短信,银行（假顾问）,假银行顾问话术：称检测到账户欺诈（BNP 官方公布）,来源 BNP 官方安全警报页；假顾问类标志性话术,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例71,"« Je suis bloqué, j'ai besoin d'aide rapidement »",短信,冒充亲友,冒充亲友求助话术（BNP 官方公布的夏季高频诈骗话术）,来源 BNP 官方安全警报页,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例72,"AVIS DE PASSAGE
VEUILLEZ CONSIDERER LA RELATION DE VOTRE COUS.
10,00€ à payer pour le stationnement
Il ne vous reste plus qu'à payer cette somme
Vous pouvez payer en espèces aux bornes de paiement de la stationnement
Ce code sera également valide pour un paiement par téléphone
QR CODE
EN SCANNANT VOTRE CODE QR
LE N° DE SUIVI DE VOTRE DOSSIER EST LE SUIVANT: 6Q0192938641",纸质,停车罚单,假停车罚单到货通知：夹在雨刮器/信箱的纸质单据，诱导扫 QR 码付费,La Poste 官方公布的假到货通知示例；10 欧停车费+QR 码是标志,是,laposte.fr phishing-hameconnage-definition,官方示例（已标注）
示例73,[假罚单诈骗] 您在挡风玻璃上发现一张'违章通知'，附 QR 码可扫码缴款。扫描后被导向假支付站，盗取银行卡信息。,纸质,停车罚单,假罚单 QR 码诈骗：伪造罚单单据诱导扫码支付（BNP 官方公布的 quishing 案例）,来源 BNP 官方安全警报页；官方罚单不通过挡风玻璃 QR 码收款,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例74,"« Une fraude est en cours sur votre compte ! »
[WhatsApp 视频/语音通话中的'假顾问'话术]",语音,银行（假顾问·WhatsApp）,WhatsApp 假顾问：称账户欺诈进行中，诱导共享屏幕后自行转账'保护资金',来源 BNP 官方安全警报页；真实银行不会通过 WhatsApp 主动来电,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例75,"Exemples de titres d'offres de faux placements publiés par BNP Paribas :
- « Doublez vos économies en 6 mois ! »
- « Investissement sécurisé à 100% avec un rendement exceptionnel »
- « Le livret Vert crypto : alliez écologie et rendements exceptionnels »
- « Certifié sans risque : faites fructifier vos économies »",邮件,虚假投资,假投资宣传语：超高收益+零风险承诺，诱导投资（BNP 官方公布的假投资诈骗标题）,来源 BNP 官方安全警报页；'高收益零风险'是诈骗标志,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例76,"Bonjour Papa, mon téléphone est cassé. Peux-tu m'envoyer un message sur Whatsapp http://wa.me/33679850795",短信,冒充亲人（孩子）,冒充子女'手机坏了'，附 wa.me 短链接诱导加 WhatsApp（BNP 官方公布的实例）,官方公布的实例；wa.me 短链+陌生号码是标志,是,mabanque.bnpparibas alertes-securite,官方示例（已标注）
示例77,"Bonjour
Votre carte bancaire a été bloquée.
Motif : paiement suspect.
Contactez immédiatement le : +33 4...",短信,银行（假止付）,假称银行卡因可疑支付被冻结，诱导立即回拨（Cybermalveillance 官方示例）,来源 smishing 官方页；真实银行不会短信通知冻结并给个人手机号,是,smishing-hameconnage-sms,官方示例（已标注）
示例78,"« Salut c'est moi, tu ne m'as pas appelé. J'attends ton rappel au 0899 (…). »",短信,诱导回拨高价号码（0899）,假亲友/未接来电话术：诱导回拨 0899 高价号码（Arcep 官方公布）,来源 Arcep 官方；0899 为高价收费号码,是,arcep.fr fiche spam,官方示例（已标注）
示例79,"« Bonjour, un colis vous attend depuis 10 jours et repartira si vous ne venez pas le chercher d'ici demain. Merci de nous rappeler au 0899 (...) »",短信,诱导回拨高价号码（0899）,假包裹滞留话术：诱导回拨 0899 高价号码（Arcep 官方公布）,来源 Arcep 官方；真实快递不会用 0899 催领,是,arcep.fr fiche spam,官方示例（已标注）
示例80,"« Bonjour, ce sont les urgences de l'hôpital xyz. Votre conjoint vient d'avoir un grave accident. Merci de nous rappeler au 0899 (…). »",语音,假医院急诊,假医院急诊来电：谎称家人出车祸，诱导回拨 0899 高价号码（Arcep 官方公布）,来源 Arcep 官方；利用恐慌+家人安全诱导回拨,是,arcep.fr fiche spam,官方示例（已标注）
示例81,"[冒充监管机构] L'Arcep vous appelle pour vous informer que votre identité a été usurpée ou que votre ligne va être suspendue ? Ceci est une fraude, raccrochez !",语音,冒充监管机构 Arcep,冒充 Arcep 告知'身份被盗用/线路将被停用'，诱导配合操作,Arcep 官方明示：此类来电均为诈骗，直接挂断,是,arcep.fr fiche spam,官方示例（已标注）
示例82,"Bonjour,

Je suis connu sous le nom de Kill Angel of Death et j'exécute toutes sortes de services en rapport avec le crime organisé- y compris la destruction de biens et l'enlèvement, voire le meurtre…",邮件,无（自称职业杀手）,冒充职业杀手，声称已受雇暗杀受害者，要求付费取消合同以勒索钱财,冒充杀手索要赎金，要求48小时内回复，典型的恐吓勒索钓鱼邮件,是,https://www.cybermalveillance.gouv.fr/tous-nos-contenus/actualites/campagnes-de-messages-darnaque-au-tueur-a-gages,A级官方来源；原文斜体引用
